¼øÀ§,¼±¼ö¸í,ÆÀ¸í,WAR,°æ±â,Å¸¼®,Å¸¼ö,µæÁ¡,¾ÈÅ¸,2·çÅ¸,3·çÅ¸,È¨·±,·çÅ¸,Å¸Á¡,µµ·ç,µµ·ç½ÇÆÐ,º¼³Ý,»ç±¸,°íÀÇ»ç±¸,»ïÁø,º´»ìÅ¸,Èñ»ýÅ¸,Èñ»ýÇÃ¶óÀÌ,Å¸À²,Ãâ·çÀ²,ÀåÅ¸À²,OPS,wOBA,wRC+,WAR2,WPA,¿¬µµ
1,¹éÀÎÃµ,82MLF,5.88,72,298,250,55,103,23,1,19,185,64,11,3,42,3,10,17,5,0,3,0.412,0.497,0.74,1.237,0.528,227.0,5.88,,1982
2,À±µ¿±Õ,82OLF,4.13,77,334,284,54,97,20,5,8,151,47,9,2,45,1,2,27,3,0,4,0.342,0.428,0.532,0.96,0.43,164.6,4.13,,1982
3,ÀÌ¸¸¼ö,82»ïC,4.12,78,322,270,46,78,16,1,13,135,51,6,2,46,4,0,27,13,0,1,0.289,0.399,0.5,0.899,0.405,147.6,4.12,,1982
4,±èºÀ¿¬,82ÇØDH,3.68,74,304,269,55,89,14,1,22,171,52,7,2,28,6,3,16,8,0,1,0.331,0.405,0.636,1.04,0.453,180.5,3.68,,1982
5,±è¿ì¿­,82OCF,3.46,62,255,210,43,65,8,0,13,112,41,14,4,38,6,6,25,0,0,1,0.31,0.428,0.533,0.961,0.426,161.9,3.46,,1982
6,ÀÌÁ¾µµ,82MRF,3.4,78,327,287,52,93,15,1,11,143,48,21,3,32,4,2,51,4,0,4,0.324,0.395,0.498,0.893,0.401,145.2,3.4,,1982
7,ÀåÅÂ¼ö,82»ïRF,3.25,64,264,214,42,72,15,3,3,102,27,34,14,42,5,0,35,1,2,1,0.336,0.454,0.477,0.931,0.427,161.6,3.25,,1982
8,±èÀÏ±Ç,82ÇØCF,3.12,75,330,282,48,76,12,1,11,123,36,53,17,42,3,2,18,4,1,2,0.27,0.368,0.436,0.804,0.365,122.6,3.12,,1982
9,±¸Ãµ¼­,82O2B,2.96,76,316,266,45,82,11,5,3,112,25,9,5,35,8,0,32,3,7,0,0.308,0.405,0.421,0.826,0.377,130.3,2.96,,1982
10,±èÁØÈ¯,82ÇØRF,2.94,80,331,306,50,92,13,3,19,168,45,10,5,19,3,1,23,4,2,1,0.301,0.347,0.549,0.896,0.392,140.6,2.94,,1982
